Name;Icon;Created Date;Equipment;Equipment Weights;;;;;
New Gym;Cabin;9/22/2026;;;;;;;
;;;Ab Coaster Machine;9 kg;;;;;
;;;Ab Wheel;;;;;;
;;;Adjustable Bench;;;;;;
;;;Aerobic Steps;;;;;;
;;;Air Bike;;;;;;
;;;Anchor Point For Resistance Band;;;;;;
;;;Anchor Point For Suspension Trainer;;;;;;
;;;Ankle Weights;2.5 kg, 5 kg, 7.5 kg, 10 kg, 12.5 kg, 15 kg, 17.5 kg, 20 kg, 22.5 kg, 25 kg, 27.5 kg, 30 kg, 32.5 kg, 35 kg, 37.5 kg, 40 kg, 42.5 kg, 45 kg, 47.5 kg, 50 kg, 52.5 kg, 55 kg;;;;;
;;;Another Human;;;;;;
;;;Assisted Nordic Hamstring Curl Machine;8 kg;;;;;
;;;Axle Bar;7.5 kg, 11.5 kg, 15 kg;;;;;
;;;Barbell;7 kg, 15 kg, 20 kg;;;;;
;;;Battle Ropes;;;;;;
;;;Bed;;;;;;
;;;Bench Press Board/Block;;;;;;
;;;Bent-Over Plate-Loaded Row;13 kg;;;;;
;;;Bike;;;;;;
;;;Bodyweight Only;;;;;;
;;;Bosu Ball;;;;;;
;;;Buffalo Bar;23 kg, 27 kg;;;;;
;;;Bumper Plates;5 kg (Silver), 10 kg (Green), 15 kg (Yellow), 20 kg (Blue);;;;;
;;;Calf Raise Block;;;;;;
;;;Cambered Bench Press Bar;20 kg;;;;;
;;;Cambered Squat Bar;20 kg, 29.5 kg, 38.5 kg;;;;;
;;;Captain’s Chair;;;;;;
;;;Center Pendulum Reverse Hyperextension;0 kg;;;;;
;;;Chair;;;;;;
;;;Chest Fly With Arm Pads;0 - 250 kg, 5 kg increments;;;;;
;;;Chest-Supported Pin-Loaded Row;0 - 250 kg, 5 kg increments;;;;;
;;;Chest-Supported Plate-Loaded Row;4.5 kg;;;;;
;;;Chest-Supported T-Bar Row;18.1 kg;;;;;
;;;Couch;;;;;;
;;;Cuff Cable Attachments;;;;;;
;;;Deadlift Blocks;;;;;;
;;;Decline Bench;;;;;;
;;;Decline Bench Press Station;;;;;;
;;;Dip Bars;;;;;;
;;;Dip/Pull-Up/Belt Squat Belt;0 kg;;;;;
;;;Dual Cable Lat Pulldown;0 - 250 kg, 5 kg increments;;;;;
;;;Dumbbells;1 kg, 2 kg, 3 kg, 4 kg, 5 kg, 6 kg, 7 kg, 8 kg, 9 kg, 10 kg, 11 kg, 12 kg, 12.5 kg, 15 kg, 17.5 kg, 20 kg, 22.5 kg, 25 kg, 27.5 kg, 30 kg, 32.5 kg, 35 kg, 37.5 kg, 40 kg, 42.5 kg, 45 kg, 47.5 kg, 50 kg, 52.5 kg, 55 kg, 57.5 kg, 60 kg, 62.5 kg, 65 kg, 67.5 kg, 70 kg, 72.5 kg, 75 kg;;;;;
;;;EZ Bar;9 kg, 13.5 kg;;;;;
;;;Elliptical;;;;;;
;;;Farmer’s Handles;0 kg;;;;;
;;;Fat Grip Attachments;0 kg;;;;;
;;;Fixed-Weight EZ Bar;10 kg, 15 kg, 20 kg, 25 kg, 30 kg, 35 kg, 40 kg, 45 kg, 50 kg;;;;;
;;;Fixed-Weight Straight Bar;10 kg, 15 kg, 20 kg, 25 kg, 30 kg, 35 kg, 40 kg, 45 kg, 50 kg;;;;;
;;;Flat Bench;;;;;;
;;;Flat Bench Press Station;;;;;;
;;;Furniture Sliders;;;;;;
;;;Glute Ham Developer;;;;;;
;;;Gymnastics Rings;;;;;;
;;;Hack Squat;45.4 kg;;;;;
;;;Hand Gripper;23 kg, 36 kg, 45 kg, 54 kg, 63 kg, 68 kg, 76 kg, 88 kg, 91 kg, 108 kg, 113 kg, 126 kg;;;;;
;;;Hip Thrust Bench;;;;;;
;;;Horizontal Pin-Loaded Chest Press;0 - 250 kg, 5 kg increments;;;;;
;;;Horizontal Plate-Loaded Chest Press;8.2 kg;;;;;
;;;Incline Bench Press Station;;;;;;
;;;Incline Plate-Loaded Calf Press;6.8 kg;;;;;
;;;Incline Sliding Core Trainer;;;;;;
;;;Jacobs Ladder;;;;;;
;;;Jammer;3.6 kg;;;;;
;;;Jump Rope;;;;;;
;;;Kettlebells;4 kg, 6 kg, 8 kg, 10 kg, 12 kg, 14 kg, 16 kg, 18 kg, 20 kg, 22 kg, 24 kg, 26 kg, 28 kg, 30 kg, 32 kg, 36 kg, 40 kg, 44 kg, 48 kg, 52 kg, 56 kg, 60 kg, 64 kg, 68 kg, 72 kg, 76 kg, 80 kg, 84 kg, 88 kg, 92 kg;;;;;
;;;Kneeling Pin-Loaded Glute Kickback;0 - 250 kg, 5 kg increments;;;;;
;;;Kneeling Pin-Loaded Leg Curl;0 - 250 kg, 5 kg increments;;;;;
;;;Kneeling Plate-Loaded Glute Kickback;4.4 kg;;;;;
;;;Kneeling Plate-Loaded Leg Curl;3.6 kg;;;;;
;;;Kneeling Torso Rotation;0 - 250 kg, 5 kg increments;;;;;
